	TCGA-3C-AAAU-01A-11R-A41B-07	TCGA-3C-AALI-01A-11R-A41B-07	TCGA-3C-AALJ-01A-31R-A41B-07	TCGA-3C-AALK-01A-11R-A41B-07	TCGA-4H-AAAK-01A-12R-A41B-07	TCGA-5L-AAT0-01A-12R-A41B-07	TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-5T-A9QA-01A-11R-A41B-07	TCGA-A1-A0SB-01A-11R-A144-07	TCGA-A1-A0SD-01A-11R-A115-07	TCGA-A1-A0SE-01A-11R-A084-07	TCGA-A1-A0SF-01A-11R-A144-07	TCGA-A1-A0SG-01A-11R-A144-07	TCGA-A1-A0SH-01A-11R-A084-07
154664	0	1.395775743	0.931002202	1.800081925	0.511468039	1.742609903	1.784503983	0.606915942	10.61911823	0.994579724	1.211822119	2.279649579	0.782408565	2.087598618
650655	4.242015553	6.163712061	3.775335048	3.336597604	3.73773002	4.775935488	2.09085343	2.220670465	3.037030731	2.865067591	3.755432417	3.321423063	4.629951063	2.974878013
19	8.177231153	8.724276454	9.432295723	9.551253563	9.529131442	9.416163531	10.1113111	7.836116648	9.29471057	10.68720139	9.796344019	9.15240147	9.329954163	10.11222902
20	12.1384152	11.18677705	11.64814282	10.42653586	9.889099313	10.34333853	10.33442805	9.570641663	10.70766921	10.18263557	10.49752555	9.9787585	10.72966917	9.710445887
21	12.41779174	11.37605955	10.56515217	9.921180567	10.2856727	9.793354575	11.59369438	10.26882338	9.81554565	10.9299094	11.34343536	10.79083067	13.30779015	10.52105712
24	2.260387037	5.527733462	1.492212122	6.21395573	5.280670567	6.397404249	5.899168378	3.05696496	2.202887833	7.32901862	3.857224626	5.140463747	7.462067047	6.143689324
23461	9.636793892	8.606583988	9.130270667	8.690281243	7.768325278	8.240841408	7.875926242	6.84569954	8.181012081	8.653278612	7.795348767	7.237843795	5.166727494	8.52187482
23460	4.590488247	4.701194161	6.367993024	6.307357482	7.546565766	6.963148094	6.684741609	1.032806145	5.22845701	7.271487306	6.884517335	7.040707261	6.938770373	7.601523448
10347	9.223878871	9.578294185	8.586837912	8.866867189	6.362410272	8.617821162	8.402621143	8.22708738	7.103307744	7.111575977	8.356580057	8.032860131	8.425104261	7.350121496
10351	5.897046762	4.400510606	5.743727684	7.74475178	6.055974329	6.7438098	5.859216706	0	6.943520522	7.659220302	6.3392639	6.295374062	6.449576231	6.34297957
10350	5.269324948	5.561350578	5.791738549	6.156540216	7.687245494	6.314767209	7.182437063	0	5.782935325	6.594075237	7.245266516	7.021807273	6.344842697	6.917702653
23456	9.060270355	8.51519599	8.125836014	8.688835662	8.435071809	8.535828239	8.52257447	9.133577653	8.488436278	9.004072396	9.162254606	9.315555589	8.288926502	9.221349794
8647	0	1.894875955	0.931002202	1.408657521	0.511468039	0	0	0	0.536550296	1.216175457	0	0.892818428	1.286881148	1.289598422
5243	4.853865938	5.403499517	4.508352586	6.756991234	5.416235115	6.976650038	6.945436813	3.380480113	3.81398636	7.50223034	7.765113015	7.13606421	6.382681085	6.460051189
5244	3.951932762	5.226231062	4.036723106	3.653587456	5.553280624	5.290158961	5.203976338	5.633437023	2.955591792	5.415620095	3.857224626	4.03760186	4.914578874	5.516736944
340273	0.427284346	3.194812001	2.468087998	1.164271398	0.511468039	2.779469857	5.975898397	0	1.233581332	3.359394662	2.79150154	2.279649579	3.372966023	1.488412176
10058	9.714321601	9.945996666	9.326301167	9.286042042	9.200548982	8.960000773	8.60943031	8.456595084	9.090429513	9.079965513	9.127644886	8.57235841	8.759412531	8.995072059
22	9.249429934	7.644009107	7.172384502	8.4739971	8.705963046	8.615665313	8.800860436	8.480473157	9.237856698	8.813553548	9.070748615	8.58493545	8.432639608	8.548559156
11194	10.35726333	10.7407662	9.366565922	9.89759455	9.749156282	9.861348274	9.814991746	9.791060626	8.209834947	9.449230994	9.450474119	10.01684046	9.927377536	9.583770846
23457	8.164653553	8.523640753	8.080265388	7.251939645	6.27330887	6.637237817	7.09328656	7.189462852	7.37096633	7.977961035	6.56749221	7.052768004	8.002683395	7.127500187
89845	9.700391859	9.611767907	9.144207521	9.45420695	9.076076427	8.739630427	9.139966195	8.714015699	9.072662947	8.458095277	8.703766909	8.630873203	8.844374981	8.709057613
85320	6.539529521	12.92831659	0.931002202	11.11059939	6.589750007	8.656085155	8.320409761	11.33050675	3.946356572	10.29820683	10.09741196	11.12087613	12.64224666	13.25358245
94160	0	9.63957333	0	6.568611317	0	2.509138416	2.745237332	5.489706694	0.536550296	4.311575772	0.990737079	4.871577553	5.23727307	5.213942125
150000	0	1.061776198	6.790521838	5.959605571	5.327288556	6.719924042	0	2.63925532	0	0.732573121	2.101246657	3.878617454	4.948614863	0
4363	10.62055663	9.797775154	10.64573759	10.30299139	10.22848611	9.990914171	9.735844872	8.927418577	10.72697116	10.18468743	10.48134325	10.17649893	10.93568044	10.46539192
1244	2.625247107	6.386355722	2.68699348	4.199821514	2.884207159	3.455767771	3.633419585	4.105460182	2.955591792	6.375812717	1.572647178	3.651556905	2.903057557	3.915042791
8714	6.798190525	13.1093051	7.181423622	10.48017352	8.422601786	9.418663697	8.486968528	9.160198428	3.946356572	9.361982362	8.722994984	9.341510373	8.583774042	9.34106643
10257	4.88785179	6.174614147	6.957683647	8.782630365	6.918863237	6.914870633	7.671958512	4.105460182	6.443701126	7.407017024	6.745421557	6.612045761	6.83341005	8.531763529
10057	9.533966636	8.703858251	11.68912323	10.36721597	11.4827329	9.8731277	9.924307917	8.796086995	9.968686375	11.64374027	8.268486794	9.810007138	8.231331599	10.42009665
653190	2.916189988	2.55924706	1.492212122	0.869871406	1.434081067	1.119820952	2.09085343	4.419370343	0	1.72935699	3.442611804	2.279649579	3.875789891	0.444879056
730013	5.380926808	2.09173368	2.209921191	2.107654396	4.706331623	3.292619805	4.62263171	6.995133978	0.926758532	3.762487019	4.997012333	5.94028188	5.330572741	2.974878013
368	7.314682026	4.844611621	4.257945954	3.60536395	7.635698534	6.9357591	4.883860268	7.87841637	3.037030731	5.224607575	6.40236405	6.197712089	7.722753578	4.61323106
6833	7.443098536	7.228760982	6.601421677	5.997470814	7.390671984	8.192481709	7.77754399	6.412866188	0	8.257483548	9.025913868	7.546332702	5.693779649	8.069391226
10060	6.326815952	7.567496012	7.243160652	7.522552501	7.026376261	6.446747523	6.836484677	6.108348814	5.422791399	8.521810842	7.977795652	7.454178361	7.404985695	7.682379464
215	9.861931799	8.663798948	9.878301101	8.470635693	7.881992467	8.484770944	8.535306874	7.806087499	7.667288984	8.291393592	7.888452854	8.299298699	8.881189536	9.331393516
225	1.445355919	3.278044239	4.508352586	3.276273321	2.707502704	2.650626715	4.361761342	1.032806145	2.679423798	4.105208723	3.645920651	4.715662784	3.035641503	3.520221074
5825	11.22726263	9.901486159	9.600207858	10.50091765	11.13675938	11.1625456	10.78249965	10.52327898	11.33019608	11.26192942	12.0686201	10.48368279	11.69205449	12.01270303
5826	8.336533338	8.929783602	8.272630718	9.204962575	9.268529603	9.80947731	9.598510553	8.719396009	8.429333088	8.841914011	8.996470947	8.925943952	9.250407623	8.663525728
6059	10.36104905	10.34196407	10.34047058	10.34306343	10.44433204	10.0881913	10.15424763	10.99006836	11.05424112	10.6732717	10.63314582	10.62540493	10.17838052	10.43635665
23	11.03354758	11.0524953	10.47153063	10.97127036	10.65925581	10.59496015	10.9612073	11.49115918	10.97799022	10.74927262	10.72800968	10.46849565	9.92791082	10.90511386
10061	10.60627371	10.87129939	10.45671561	10.3976233	10.33688632	10.30170424	10.48559065	10.10788464	10.51014236	10.35360857	10.43202183	10.60173644	10.39134392	10.43221459
55324	10.2063508	11.02678104	10.26488168	10.17923845	10.35715422	10.16980214	10.47901517	10.68738671	10.03956312	10.21391564	9.94872932	10.06782987	10.28254684	10.69833978
9619	9.996035741	10.19511219	9.196418689	9.011510734	10.32974858	9.364487076	10.23158601	10.54616801	12.12880997	11.69315186	9.716216026	9.643806957	10.49502994	9.328154745
9429	6.479500588	3.75561401	4.671219764	5.920722043	6.694228326	6.711873427	6.048752774	2.048968509	6.619241321	7.337895698	7.345002434	6.773285612	5.393704491	6.568331621
64137	2.848778155	2.09173368	1.492212122	1.617627613	1.186880831	2.897743829	3.811460755	2.374093548	0	1.866551957	1.403485883	0	1.485426827	1.959473426
64240	0.427284346	2.264956718	1.895263839	2.239886801	1.186880831	2.176195095	2.09085343	0.606915942	1.233581332	2.213844945	0.729618025	0.514400039	1.956056652	1.663071313
64241	0.756425557	1.061776198	0	0	0.511468039	0	1.784503983	0	0	0.732573121	0	0	0	0
55347	10.0410951	9.516440114	8.813063192	8.650729382	8.961295722	9.05333674	9.463466133	9.907984225	9.220529724	9.388572939	9.336129602	9.151358583	8.86234166	8.957751253
83451	9.084286745	11.75153657	10.9904904	11.22274172	10.73613206	9.496880534	10.89359391	10.0704803	8.979168789	9.804496329	9.312430341	11.24549703	10.95804507	9.128517928
145447	0.756425557	1.395775743	1.492212122	0.869871406	2.271963449	6.767306529	6.906763152	0.606915942	4.610351629	2.798009028	6.242255699	7.233743331	1.056583528	1.663071313
26090	11.392481	11.96241465	10.52931459	10.20120697	10.19954181	10.40143187	11.08977096	11.29970858	10.4657931	11.15505942	9.768319819	10.72407092	10.91511698	9.92769679
84945	8.227948964	7.892036381	7.978042862	8.398176762	8.597616834	8.426930589	8.554197813	8.911836863	9.235702172	8.8314751	8.716237809	8.761936786	8.638233162	9.137797054
25864	7.984648018	8.484860748	8.242716343	8.405236363	7.90778539	8.508203214	8.157011362	8.953526873	7.585225468	7.970235914	8.020949391	8.036536851	8.180321443	7.144097369
84836	10.70370471	10.28651248	10.71507285	10.76481571	10.44565326	10.78824083	10.61642681	11.23575392	10.95983151	10.17439868	11.22941969	10.69491213	11.30390932	10.2749968
116236	8.61159217	10.5921638	7.65365194	7.592258933	8.366043266	8.811084359	8.460509958	8.600021784	7.644732361	8.72609211	8.237361035	8.201910711	9.132282763	9.038246306
84696	4.904546718	6.901382223	1.492212122	3.990455729	2.965045436	4.680155545	3.193771743	7.234401683	3.668232611	4.689958847	4.526600958	3.920035993	3.978204784	1.959473426
11057	13.76194432	10.61685316	11.08504145	12.90353359	13.8351244	13.17677086	10.98692633	11.10483447	11.50406423	13.03792954	12.75173811	15.1314698	11.66383932	12.26451878
171586	8.083279863	9.355703247	7.451793843	9.077077663	7.897523611	9.237053132	10.79314084	8.286292069	6.164478579	8.143957116	8.440969219	9.317494244	8.208687462	7.535656416
63874	9.765823455	10.3261625	10.89824229	9.883129266	9.646424604	10.06151323	9.463466133	9.659159993	8.650858242	10.42651406	9.785636369	9.3443656	9.862465805	10.34956985
51099	9.287325685	9.313172826	9.291324057	9.185616579	9.081752645	8.463351893	9.224947078	8.851043447	9.830613285	9.893496001	9.619340375	8.731724965	9.387773299	10.25168099
57406	7.204375511	6.107932621	6.460011859	6.139708915	6.009085109	6.121674413	7.276442694	6.49881092	6.061197276	7.169085189	6.419103995	6.318792238	6.580159055	6.151038871
79575	8.954995098	8.865641727	8.409709991	8.401711094	9.710110226	8.56517064	8.636272966	9.258334477	7.969114218	7.712529064	8.112550539	8.722975181	8.055079576	8.115209115
10006	9.652281764	10.06233087	10.35838615	10.05793299	10.27705988	10.20392533	10.36110817	10.63806379	10.61496754	10.66005875	11.04845915	10.62806691	10.50144323	10.55252069
10152	10.28975022	10.2649967	9.850234979	10.50667294	10.65126162	10.20248959	9.801878886	10.09483408	11.31088267	10.89799947	10.50146104	10.07872964	10.1057658	10.54880034
25890	7.149396563	7.675049508	8.569728418	8.859175699	8.509396173	8.118283926	8.320409761	2.963326148	7.212510003	9.021626577	8.768340829	9.40122961	8.715633272	8.865812748
51225	7.27670602	8.819503738	7.836436706	7.841610262	7.569371085	8.602662125	9.101955455	6.507131799	5.566863852	7.647366321	6.935830982	7.450649588	7.208297772	7.307997658
25	11.01276119	11.35554838	11.61600015	11.39110023	11.49171453	11.23841483	11.12441784	10.64041514	11.63795813	11.29952858	11.46228125	11.17747747	11.14327006	11.78641271
27	9.516421006	9.662019239	10.08510341	9.963046049	9.915402733	9.976706166	9.414339793	9.656357464	10.20617568	10.25237899	10.70230985	10.01026318	9.865809501	10.54112779
3983	11.49061149	9.967226259	9.520528718	9.914392607	10.73577203	9.698763172	10.71694941	8.036208237	11.53593256	11.03509311	11.58418938	10.90385474	10.54802715	11.16362326
84448	6.829131585	5.657737172	5.533902803	5.860356997	7.035764654	6.121674413	5.975898397	6.340222206	4.876841056	7.080175832	6.204127019	6.334194611	8.187465406	3.982519061
22885	11.99278139	8.126251204	9.467936232	7.736378929	9.255530946	9.205864833	10.58997157	4.762912175	6.509382316	9.286034415	9.746377603	10.16362402	9.358797551	9.372849175
28	5.846092094	1.395775743	0.931002202	2.472773683	1.829118896	1.975630186	0.859969548	2.63925532	3.037030731	3.831167877	1.724039016	3.440061863	2.757044588	3.101683689
26	1.617298483	4.362883631	4.324738611	3.873153699	3.24953636	2.897743829	2.910732662	5.921802861	0.536550296	8.556452024	6.131494827	3.549681491	2.310340121	2.205236098
137735	0.427284346	1.061776198	0.931002202	0	0.511468039	0	0	0	0.536550296	0.412293771	0	0	0.443606651	0
29	11.62671778	10.9407942	11.11483666	10.50913248	10.33593673	10.7791195	11.13595856	10.98932623	10.73309373	10.6582879	10.18117276	10.72954138	11.07002801	10.73242736
29777	9.096146397	8.890650363	9.314106005	8.913413041	8.991763031	9.283964819	9.40743051	9.67031545	9.150206778	8.967356254	8.966414316	9.304846168	9.129503526	8.932380128
80325	9.321922459	9.953841119	9.454949028	8.924511465	8.853939836	9.856791992	9.20117339	9.181147038	7.821777808	9.121834199	8.303470718	8.743308954	7.902811626	8.429688348
25841	5.913638625	7.579849919	6.252652188	5.920722043	6.824518389	6.059588901	6.784104779	8.552580727	9.490949927	7.25283287	5.943715079	6.326513979	7.408046907	6.523726602
30	9.612290198	10.39478035	10.37928706	10.40996005	10.24122253	10.84639341	10.60363766	10.06626373	9.488237624	10.1690194	9.995057781	10.3394443	11.15379444	10.11365466
10449	9.587944743	8.974136923	10.43514882	9.951035646	10.24881078	9.891063999	9.777971306	9.229713845	10.36442524	9.637172414	10.06763791	10.13092495	8.828468155	9.550110705
31	11.71441275	13.83805008	11.81534375	11.72597521	11.19526749	11.0964455	10.41241975	10.53094907	10.59368813	11.20018253	11.65421018	11.58406209	11.20375396	12.82664809
32	8.909188361	6.770974365	8.097463844	7.204205289	8.289626546	8.717686361	7.94911934	11.57467072	8.242391955	9.802894195	8.10567284	9.351952247	7.806338237	8.431198379
80724	8.984744559	9.343678968	8.90869614	8.824047026	9.365717467	9.050147401	9.224947078	9.011695217	9.044630177	8.619699115	8.536122857	8.265554103	9.435059512	8.838756735
84129	9.107585092	8.657731814	6.445076113	8.71686815	8.73506991	8.548993327	8.463843938	8.747599545	8.531227435	8.14732807	7.884198609	7.601473678	7.519807636	8.199156023
27034	8.910222077	8.077712995	9.610283704	9.059285778	8.575257487	9.08016517	9.314462703	8.626992088	9.079887136	8.408390887	8.168075363	8.547432477	8.827325236	8.080982702
28976	9.733776477	9.725602967	9.822045598	10.01581979	9.878670633	9.92780255	9.953180103	9.867839336	9.703855483	9.788389305	9.415465454	9.6849353	9.999767516	9.805500608
33	0.756425557	0.626485863	0	4.294113419	1.434081067	1.119820952	1.3950628	0	3.037030731	6.62825013	1.724039016	2.401630467	1.956056652	1.289598422
34	10.30043573	9.099558741	8.833277212	9.900720116	9.726145597	9.874029685	10.25390526	9.842922279	9.996311344	10.05385381	10.07513923	9.332910631	9.707097318	9.797331776
