sample	value
TCGA-A8-A090-01A	-0.9205
TCGA-A8-A090-01A	-0.0915
TCGA-A8-A090-01A	-0.7715
TCGA-A8-A090-01A	-0.1261
TCGA-A8-A090-01A	-0.957
TCGA-A8-A090-01A	-0.09
TCGA-A8-A090-01A	-0.9749
TCGA-A8-A090-01A	-0.094
TCGA-A8-A090-01A	0.3864
TCGA-A8-A090-01A	-0.124
TCGA-A8-A090-01A	0.3532
TCGA-A8-A090-01A	-0.092
TCGA-A8-A090-01A	0.39
TCGA-A8-A090-01A	-0.1457
TCGA-A8-A090-01A	0.3861
TCGA-A8-A090-01A	0.325
TCGA-A8-A090-01A	0.4026
TCGA-A8-A090-01A	0.7664
TCGA-A8-A090-01A	0.4254
TCGA-A8-A090-01A	-0.0089
TCGA-A8-A090-01A	0.3677
TCGA-A8-A090-01A	-0.0741
TCGA-A8-A090-01A	-0.9713
TCGA-A8-A090-01A	-3.0636
TCGA-A8-A090-01A	-0.9843
TCGA-A8-A090-01A	-0.1166
TCGA-A8-A090-01A	0.4143
TCGA-A8-A090-01A	-0.8019
TCGA-A8-A090-01A	0.3988
TCGA-A8-A090-01A	-0.0995
TCGA-A8-A090-01A	0.4218
TCGA-A8-A090-01A	-0.0871
TCGA-A8-A090-01A	-1.1457
TCGA-A8-A090-01A	-0.0835
TCGA-A8-A090-01A	-0.9874
TCGA-A8-A090-01A	-0.1424
TCGA-A8-A090-01A	0.3227
TCGA-A8-A090-01A	0.1479
TCGA-A8-A090-01A	0.2053
TCGA-A8-A090-01A	0.1027
TCGA-A8-A090-01A	-0.1162
TCGA-A8-A090-01A	-0.4571
TCGA-A8-A090-01A	-0.0885
TCGA-A8-A090-01A	-0.1804
TCGA-A8-A090-01A	-0.1177
TCGA-A8-A090-01A	0.0074
TCGA-AO-A03N-01B	-0.3754
TCGA-AO-A03N-01B	-2.2736
TCGA-AO-A03N-01B	-0.3713
TCGA-AO-A03N-01B	-1.7442
TCGA-AO-A03N-01B	-0.3828
TCGA-AO-A03N-01B	0.4521
TCGA-AO-A03N-01B	-0.3894
TCGA-AO-A03N-01B	-0.3525
TCGA-AO-A03N-01B	-0.3901
TCGA-AO-A03N-01B	-2.0536
TCGA-AO-A03N-01B	-0.3489
TCGA-AO-A03N-01B	-0.3936
TCGA-AO-A03N-01B	0.3197
TCGA-AO-A03N-01B	-0.3685
TCGA-AO-A03N-01B	0.3211
TCGA-AO-A03N-01B	0.4793
TCGA-AO-A03N-01B	0.5408
TCGA-AO-A03N-01B	0.5755
TCGA-AO-A03N-01B	0.5356
TCGA-AO-A03N-01B	-0.3971
TCGA-AO-A03N-01B	0.5579
TCGA-AO-A03N-01B	0.4797
TCGA-AO-A03N-01B	0.5436
TCGA-AO-A03N-01B	0.5859
TCGA-AO-A03N-01B	0.7378
